name,category,us,uk,jpn,aus,us_ngo,uk_ngo,aus_ngo,jpn_ngo,wwf,eng_news,jpn_news,us_cute,uk_cute,aus_cute,jpn_cute
gopher,3,1,0,0,0,0,0,0,0,0,0.394189232,0,0,0,0,0
goral,2.75,0,0,0,0,0,0,0,0,2,0.0472103,0,0,0,0,0
gorilla,5,0,0,0,0,4,3,0,0,65,7.041809677,0.608423114,2,0,0,0
grison,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grysbok,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
guar,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hamster,1.8,0,0,0,0,0,0,0,0,0,0.15762794,0,0,0,0,0
hare,1.652173913,1,0,1,0,0,0,0,1,1,1.018686849,0.250752619,0,0,0,0
hartebeest,1,0,0,0,0,0,0,0,0,0,0.373454316,0,0,0,0,0
hedgehog,1,0,0,0,0,0,13,0,0,1,1.292497222,0.039634215,0,0,0,0
hippo,3.5,0,0,0,0,0,1,0,0,8,2.411041742,0.430614773,0,0,1,0
hirola,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
horse,4,0,0,0,0,9,0,2,0,3,5.102508035,0.038170324,5,3,0,0
hutia,3.888888889,0,0,0,0,0,0,0,0,0,0.106716118,0,0,0,0,0
hyena,1.5,0,0,0,0,0,1,0,0,1,1.857799298,0.033787657,0,1,0,0
hyrax,1.4,0,0,0,0,0,0,0,0,0,0.164327436,0.004940014,0,0,0,0
impala,1,0,0,0,0,0,0,0,0,0,0.957226035,0.065292717,0,0,0,0
jackal,1,0,0,0,0,0,0,0,0,2,0.363330038,0,0,0,0,0
jaguar,2,1,0,0,0,1,0,0,0,6,2.937110843,0.009223591,0,0,0,0
jerboa,1.444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kangaroo,3.666666667,0,0,0,1,0,0,4,0,1,4.647633416,0.160516397,0,0,2,0
kinkajou,1,0,0,0,0,0,0,0,0,0,0.025817556,0,0,0,0,0
kipunji,5,0,0,0,0,0,0,0,0,0,0.189611991,0,0,0,0,0
